streams,libcommons-codec-java, 232490,9,3/14.0
streams,libplexus-classworlds-java, 49214,3,3/14.0
streams,libharfbuzz0b, 139624,5,5/14.0
streams,libc-ares2, 38506,2,1/14.0
streams,libcommons-cli-java, 53712,12,3/14.0
streams,libxcb-glx0, 21650,5,5/14.0
streams,libplexus-utils2-java, 229004,6,3/14.0
streams,ca-certificates-java, 12292,12,9/14.0
streams,node-gyp, 19434,1,1/14.0
streams,libxv1, 10346,5,5/14.0
streams,libjna-java, 151474,3,3/14.0
streams,libwagon-java, 132704,6,3/14.0
streams,libdoxia-core-java, 148008,3,3/14.0
streams,libxtst6, 14086,10,5/14.0
streams,libapache-pom-java, 4022,9,3/14.0
streams,libxcb1, 40138,70,9/14.0
streams,libgomp1, 55130,1,1/14.0
streams,librtmp1, 54702,14,9/14.0
streams,libjsr305-java, 26420,3,3/14.0
streams,libplexus-classworlds2-java, 46722,9,3/14.0
streams,libjna-platform-java, 725060,3,3/14.0
streams,libbsd0, 34938,7,7/14.0
streams,libpciaccess0, 18106,5,5/14.0
streams,libxi6, 28530,15,5/14.0
streams,x11-common, 58638,28,9/14.0
streams,libgl1-mesa-dri, 4303846,5,5/14.0
streams,node-nopt, 9544,2,1/14.0
streams,libcommons-io-java, 175848,6,3/14.0
streams,libganymed-ssh2-java, 377602,3,3/14.0
streams,libatk-wrapper-java-jni, 27432,5,5/14.0
streams,libxml-commons-resolver1.1-java, 91600,3,3/14.0
streams,libxcb-dri2-0, 7184,5,5/14.0
streams,python-six, 10700,6,2/14.0
streams,libmaven2-core-java, 709980,6,3/14.0
streams,initscripts, 24774,3,3/14.0
streams,java5-runtime-headless,,3,3/14.0
streams,libxdmcp6, 11250,10,9/14.0
streams,x11-utils, 189138,5,5/14.0
streams,libservlet2.5-java, 210316,3,3/14.0
streams,libatk1.0-0, 56850,15,5/14.0
streams,libmpfr4, 189762,3,1/14.0
streams,libtsan0, 248900,1,1/14.0
streams,libdrm-radeon1, 21492,5,5/14.0
streams,xfonts-encodings, 573352,9,9/14.0
streams,libjaxen-java, 206112,3,3/14.0
streams,libgeronimo-interceptor-3.0-spec-java, 6194,3,3/14.0
streams,libsm6, 15816,5,5/14.0
streams,libpython2.7-stdlib, 1794506,21,6/14.0
streams,libthai0, 17008,5,5/14.0
streams,perl-modules, 2500822,9,4/14.0
streams,java2-runtime-headless,,3,3/14.0
streams,default-jre, 1010,3,3/14.0
streams,libsctp1, 8414,9,9/14.0
streams,node-which, 3678,2,1/14.0
streams,libogg0, 17192,18,9/14.0
streams,libc-dev-bin, 68592,3,3/14.0
streams,node-glob, 13214,3,1/14.0
streams,libdrm2, 25906,30,5/14.0
streams,libservlet3.1-java, 389190,3,3/14.0
streams,dnsmasq-base, 294570,1,1/14.0
streams,libheimbase1-heimdal, 29318,28,9/14.0
streams,libplexus-containers1.5-java, 293166,6,3/14.0
streams,perl-base, 1212490,18,6/14.0
streams,libaopalliance-java, 9214,6,3/14.0
streams,cpp, 27424,1,1/14.0
streams,libjbig0, 26562,5,5/14.0
streams,libsasl2-modules-db, 14564,17,9/14.0
