nosql,libpython3-dev, 7110,4,4,155
nosql,libssh-gcrypt-4, 119560,1,1,155
nosql,libqt4-declarative, 1098026,8,4,155
nosql,redis-tools, 92562,1,1,155
nosql,lib32quadmath0, 203320,4,1,155
nosql,libzvbi-common, 32404,1,1,155
nosql,rpm-common, 25710,4,1,155
nosql,libclassworlds-java, 39336,15,6,155
nosql,openssl, 513306,101,66,155
nosql,python-lzma, 27876,2,1,155
nosql,fontconfig-config, 48712,73,28,155
nosql,erlang-base-hipe, 8609674,209,7,155
nosql,qtcore4-l10n, 612752,4,4,155
nosql,yum, 486002,1,1,155
nosql,libmtdev1, 13802,2,2,155
nosql,libusb-1.0-0, 42446,2,2,155
nosql,fonts-gfs-artemisia, 259808,1,1,155
nosql,libmail-java, 600644,1,1,155
nosql,erlang-ssl, 647100,38,7,155
nosql,libqt4-sql, 99284,8,4,155
nosql,libffi6, 17754,534,117,155
nosql,fonts-crosextra-caladea, 82310,1,1,155
nosql,libjpeg-dev, 1546,4,4,155
nosql,gpgv, 164506,26,22,155
nosql,libcroco3, 83166,3,3,155
nosql,libthai-data, 130744,23,20,155
nosql,libjack-0.116,,2,2,155
nosql,erlang-ssh, 400708,7,6,155
nosql,adwaita-icon-theme, 943512,8,2,155
nosql,libxcb-dri3-0, 5394,37,26,155
nosql,node-delayed-stream, 4750,2,2,155
nosql,libnss3, 1132950,102,20,155
nosql,python-distlib, 112180,15,15,155
nosql,libjackrabbit-java, 290070,7,6,155
nosql,libpaper1, 13450,12,1,155
nosql,libidn11, 92990,195,114,155
nosql,docbook-xml, 74356,1,1,155
nosql,python-rpm, 37620,2,1,155
nosql,libsm-dev, 16188,4,2,155
nosql,xsltproc, 13872,1,1,155
nosql,libxdamage-dev, 5028,8,2,155
nosql,libasm3-java, 669092,10,6,155
nosql,fonts-gfs-complutum, 41554,1,1,155
nosql,libsdl2-2.0-0, 324102,6,2,155
nosql,gcc-mingw-w64-i686, 23620284,1,1,155
nosql,libnuma-dev, 31662,8,4,155
nosql,libcairo2, 553056,62,20,155
nosql,node-abbrev, 3592,4,2,155
nosql,default-jre-headless, 4086,47,9,155
nosql,librpm3, 154944,8,1,155
nosql,libobjc-5-dev, 381622,5,3,155
nosql,libx32atomic1, 8960,4,1,155
nosql,groff-base, 1183020,1,1,155
nosql,libaio1, 6454,14,7,155
nosql,libncurses5-dev, 175810,1,1,155
nosql,libavdevice55,,2,2,155
nosql,apache2-utils, 82884,3,3,155
nosql,libgmp10, 240360,971,80,155
nosql,openjdk-7-jdk, 16286618,2,2,155
nosql,xorg-sgml-doctools, 12926,8,2,155
nosql,python-docutils, 347864,1,1,155
nosql,fonts-junicode, 641846,1,1,155
nosql,gyp, 200956,2,2,155
nosql,libgl1-mesa-dev, 5244,8,2,155
nosql,libheimntlm0-heimdal, 15120,123,73,155
nosql,findbugs, 3378822,1,1,155
nosql,x11proto-gl-dev, 17892,8,2,155
